Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2.00,0.00,41.91
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3.00,0.00,219.58
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2.00,0.00,6.87
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.58,5.00,0.45,-383.03
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.37,2.00,0.20,2.52
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7.00,0.00,14.17
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4.00,0.00,1.97
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.15,6.00,0.20,90.72
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.50,3.00,0.20,5.78
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.90,5.00,0.00,34.47
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.18,9.00,0.20,85.31
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.42,4.00,0.20,68.36
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.55,3.00,0.20,5.44
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.98,3.00,0.20,132.59
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5.00,0.80,-123.86
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.54,3.00,0.80,-3.82
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6.00,0.00,13.32
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.50,2.00,0.00,9.99
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2.00,0.00,2.48
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3.00,0.20,16.01
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4.00,0.20,7.38
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7.00,0.00,5.06
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7.00,0.00,15.69
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.37,2.00,0.30,-1.02
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3.00,0.00,240.26
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.65,2.00,0.20,4.22
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3.00,0.00,11.77
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7.00,0.50,-1665.05
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.62,2.00,0.70,-7.05
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.20,3.00,0.20,15.53
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.26,2.00,0.20,1.10
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.30,6.00,0.20,9.71
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.86,6.00,0.70,-5.72
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2.00,0.20,3.55
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.47,3.00,0.20,9.95
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.54,7.00,0.20,123.47
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5.00,0.60,-147.96
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.33,9.00,0.20,35.42
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.40,3.00,0.32,-46.98
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.06,3.00,0.30,-15.15
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.17,4.00,0.20,41.76
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.17,4.00,0.20,16.56
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2.00,0.00,3.89
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.62,2.00,0.20,9.56
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2.00,0.00,19.77
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2.00,0.00,8.21
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4.00,0.00,8.48
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.00,3.00,0.00,4.95
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.80,2.00,0.00,6.10
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6.00,0.00,17.96
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6.00,0.00,35.33
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2.00,0.00,2.96
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1.00,0.00,17.10
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7.00,0.00,6.26
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5.00,0.00,298.69
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6.00,0.00,52.14
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.40,5.00,0.00,15.55
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5.00,0.10,7.10
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2.00,0.00,6.99
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.00,2.00,0.00,3.30
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4.00,0.20,16.36
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1.00,0.00,0.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2.00,0.00,6.15
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.82,6.00,0.20,9.36
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3.00,0.00,68.96
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4.00,0.00,22.33
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.12,5.00,0.30,-15.22
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.02,8.00,0.20,111.30
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.97,4.00,0.20,62.99
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2.00,0.00,35.66
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.62,1.00,0.20,1.73
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3.00,0.00,8.76
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.94,8.00,0.20,-114.39
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2.00,0.20,1.21
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.78,1.00,0.20,-18.20
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.25,3.00,0.80,-1.93
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.71,3.00,0.60,-5.82
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3.00,0.20,2.72
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.30,5.00,0.60,-14.48
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1.00,0.00,56.20
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3.00,0.00,8.04
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.90,5.00,0.00,4.17
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1.00,0.00,6.20
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.98,7.00,0.20,62.81
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.38,3.00,0.20,-48.95
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2.00,0.00,33.22
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1.00,0.00,6.80
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2.00,0.00,2.96
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.37,7.00,0.20,13.86
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.10,3.00,0.00,6.63
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.58,2.00,0.20,8.28
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1.00,0.00,3.11
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2.00,0.00,6.22
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3.00,0.00,16.54
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2.00,0.00,16.15
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.68,1.00,0.70,-3.79
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7.00,0.00,40.54
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.31,3.00,0.20,17.96
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6.00,0.00,22.59
